feature,average_contribution,std_contribution,positive_contrib_ratio
total_assets,0.07474511524068185,2.7175177057506446,0.18425
fund_balance,-0.019256705146051215,0.043203018755576236,0.1646
insurance_balance,0.01874819510869289,0.06909435277786202,0.1673
asset_cumulative_growth,0.018406653884957,0.02902939273648804,0.4242
monthly_income,-0.010941583895535007,0.06951139996106492,0.22275
deposit_balance,-0.004589805507592145,0.06708185864796737,0.20245
lifecycle_stage_成长客户,0.0014638951185148275,0.02493376407834674,0.2363
financial_balance,0.0006599366334798419,0.10058481752370851,0.2086
lifecycle_stage_忠诚客户,0.0006164246058927153,0.015294824910807083,0.8591
product_count,-0.0005084093554323479,0.01400531494507926,0.1486
investment_monthly_count,-0.0003509646578363436,0.008714193069845813,0.33865
asset_growth_rate,0.00031808900251313713,0.0018407349681754674,0.82335
age,0.0002846606780089017,0.005562855477654692,0.41755
lifecycle_stage_成熟客户,-0.00018497711658364903,0.00778773145834454,0.2403
credit_card_monthly_expense,-0.00018497362364147115,0.007872976571770713,0.4001
app_financial_view_time,0.0001477133053832196,0.011182275093147957,0.5963
lifecycle_stage_价值客户,0.00010686782137356032,0.002895490828033125,0.7731
occupation_type_互联网从业者,-9.929041833518822e-05,0.0012249065418974744,0.8535
asset_mom_change,5.920329752520016e-05,0.0013449741392823874,0.289
app_login_count,-9.644641695844311e-07,0.001570497822538768,0.58955
fund_balance_rolling_max,0.0,0.0,0.0
fund_balance_rolling_mean,0.0,0.0,0.0
financial_balance_rolling_std,0.0,0.0,0.0
financial_balance_rolling_max,0.0,0.0,0.0
financial_balance_rolling_mean,0.0,0.0,0.0
total_assets_rolling_std,0.0,0.0,0.0
total_assets_rolling_max,0.0,0.0,0.0
total_assets_rolling_mean,0.0,0.0,0.0
occupation_type_专业人士,0.0,0.0,0.0
financial_repurchase_count,0.0,0.0,0.0
occupation_type_事业单位,0.0,0.0,0.0
marriage_status_未婚,0.0,0.0,0.0
occupation_type_企业高管,0.0,0.0,0.0
occupation_type_传统行业,0.0,0.0,0.0
occupation_type_私营业主,0.0,0.0,0.0
occupation_type_金融从业者,0.0,0.0,0.0
city_level_一线城市,0.0,0.0,0.0
city_level_二线城市,0.0,0.0,0.0
lifecycle_stage_新客户,0.0,0.0,0.0
marriage_status_已婚,0.0,0.0,0.0
fund_balance_rolling_std,0.0,0.0,0.0
