feature,value,contribution,normalized_contribution
total_assets,1.026816258404477,6.232698682182244,0.9293598369845413
deposit_balance,1.4315923838958375,0.1936428152476953,0.028874146559707475
financial_balance,0.7746314556788355,0.19151513610596357,0.028556887593544383
insurance_balance,0.9939667414391592,0.0466691486569075,0.006958852753780962
monthly_income,-0.603230505060491,-0.03212947245099996,-0.004790836650714817
fund_balance,0.3469304723531864,-0.0023971799082233864,-0.0003574443178358613
product_count,-0.709066578884659,-0.001451277644021538,-0.00021640050697829133
lifecycle_stage_忠诚客户,0.0,0.0010520562619139473,0.00015687246984456789
investment_monthly_count,-0.6147133984007888,-0.0008260315492694183,-0.00012316984746394446
lifecycle_stage_成长客户,0.0,-0.0007876931648294358,-0.00011745319781822187
lifecycle_stage_成熟客户,0.0,-0.0007602851381295347,-0.0001133663775619008
occupation_type_互联网从业者,0.0,0.0007489414319978816,0.00011167491365214182
credit_card_monthly_expense,-0.1863803682907975,-0.0005938150728836078,-8.854396906940618e-05
app_financial_view_time,-0.4394381713394877,-0.0004187553655052962,-6.244075609413917e-05
age,0.6766581974939303,-0.00027620067532324984,-4.1184377375285105e-05
lifecycle_stage_价值客户,1.0,-0.0001821767456130351,-2.7164436986070555e-05
asset_growth_rate,-1.2082143202586544,-0.00012118502465174397,-1.806994056639994e-05
asset_cumulative_growth,-1.032736814116609,-6.736841175929399e-05,-1.0045326970403704e-05
asset_mom_change,-1.223835884097668,-6.676236793989983e-05,-9.95495956875026e-06
app_login_count,-0.4167813134059407,3.791863005580301e-05,5.654059925611497e-06
fund_balance_rolling_max,0.8120035850745302,0.0,0.0
fund_balance_rolling_mean,0.8057004418591425,0.0,0.0
financial_balance_rolling_std,2.0694205761899287,0.0,0.0
financial_balance_rolling_max,1.3445536536985518,0.0,0.0
financial_balance_rolling_mean,1.1790261304873098,0.0,0.0
total_assets_rolling_std,-0.4292850180324495,0.0,0.0
total_assets_rolling_max,1.26396856119614,0.0,0.0
total_assets_rolling_mean,1.2877543186058429,0.0,0.0
occupation_type_专业人士,0.0,0.0,0.0
marriage_status_未婚,0.0,0.0,0.0
financial_repurchase_count,-0.3695946105523208,0.0,0.0
occupation_type_事业单位,0.0,0.0,0.0
occupation_type_企业高管,0.0,0.0,0.0
occupation_type_传统行业,0.0,0.0,0.0
occupation_type_私营业主,1.0,0.0,0.0
occupation_type_金融从业者,0.0,0.0,0.0
city_level_一线城市,0.0,0.0,0.0
city_level_二线城市,1.0,0.0,0.0
marriage_status_已婚,1.0,0.0,0.0
lifecycle_stage_新客户,0.0,0.0,0.0
fund_balance_rolling_std,0.8394419601262589,0.0,0.0
