feature,contribution
age,0.0010858059512202343
lifecycle_stage_忠诚客户,0.0009687126414433635
asset_growth_rate,0.0003061402724051646
lifecycle_stage_价值客户,0.00011160700252698497
fund_balance_rolling_max,0.0
fund_balance_rolling_mean,0.0
financial_balance_rolling_std,0.0
financial_balance_rolling_max,0.0
financial_balance_rolling_mean,0.0
total_assets_rolling_std,0.0
total_assets_rolling_max,0.0
total_assets_rolling_mean,0.0
financial_repurchase_count,0.0
lifecycle_stage_新客户,0.0
fund_balance_rolling_std,0.0
occupation_type_金融从业者,0.0
marriage_status_未婚,0.0
occupation_type_专业人士,0.0
occupation_type_事业单位,0.0
city_level_一线城市,0.0
occupation_type_企业高管,0.0
occupation_type_传统行业,0.0
occupation_type_私营业主,0.0
marriage_status_已婚,0.0
city_level_二线城市,0.0
asset_mom_change,-5.405493917738906e-05
app_login_count,-0.00019394490322532332
asset_cumulative_growth,-0.000618910240522133
app_financial_view_time,-0.0007196538975619671
lifecycle_stage_成长客户,-0.0007348418431997295
lifecycle_stage_成熟客户,-0.0007602851381295347
product_count,-0.0008173015497071051
investment_monthly_count,-0.0009034304638240867
occupation_type_互联网从业者,-0.0009487589145536664
credit_card_monthly_expense,-0.0009925039899417079
insurance_balance,-0.005341312935957546
monthly_income,-0.029034216309311668
deposit_balance,-0.0337575984237456
fund_balance,-0.03677085503364358
financial_balance,-0.04773688491259771
total_assets,-1.1689948788100994
