feature,importance
total_assets,224
monthly_income,164
insurance_balance,60
fund_balance,59
financial_balance,38
deposit_balance,30
app_financial_view_time,30
product_count,19
credit_card_monthly_expense,19
lifecycle_stage_忠诚客户,17
lifecycle_stage_成长客户,17
age,11
lifecycle_stage_成熟客户,11
investment_monthly_count,11
occupation_type_互联网从业者,9
app_login_count,5
asset_cumulative_growth,4
lifecycle_stage_价值客户,3
asset_growth_rate,3
asset_mom_change,2
occupation_type_专业人士,0
occupation_type_事业单位,0
occupation_type_企业高管,0
occupation_type_传统行业,0
occupation_type_私营业主,0
occupation_type_金融从业者,0
city_level_一线城市,0
city_level_二线城市,0
marriage_status_已婚,0
marriage_status_未婚,0
lifecycle_stage_新客户,0
financial_repurchase_count,0
total_assets_rolling_mean,0
total_assets_rolling_max,0
total_assets_rolling_std,0
financial_balance_rolling_mean,0
financial_balance_rolling_max,0
financial_balance_rolling_std,0
fund_balance_rolling_mean,0
fund_balance_rolling_max,0
fund_balance_rolling_std,0
