feature,value,contribution
total_assets,-0.7973929578773724,-1.169729959606993
financial_balance,-0.788254387104008,-0.04773688491259771
fund_balance,-0.7908053538486162,-0.03677085503364358
deposit_balance,-0.7564935498800401,-0.0337575984237456
monthly_income,-0.9153747659136526,-0.02905739769806536
insurance_balance,-0.7347347819635099,-0.005341312935957546
product_count,-0.709066578884659,-0.0013960606043078338
age,-1.0917573352506291,0.0010858059512202343
lifecycle_stage_忠诚客户,0.0,0.0010344457490693835
investment_monthly_count,-0.6147133984007888,-0.0010120380129987686
occupation_type_互联网从业者,1.0,-0.0009487589145536664
lifecycle_stage_成熟客户,0.0,-0.0007602851381295347
lifecycle_stage_成长客户,0.0,-0.0007348418431997295
app_financial_view_time,1.357614264241257,-0.0006961684254028422
asset_cumulative_growth,-0.7191184174710336,-0.000618910240522133
asset_growth_rate,6.5627321851919564,0.0003061402724051646
credit_card_monthly_expense,0.1137940684300803,0.0002846427511591621
app_login_count,1.635598420489207,-0.00011468143468827678
lifecycle_stage_价值客户,0.0,0.00011160700252698497
asset_mom_change,-0.4555467540750736,-5.405493917738906e-05
financial_balance_rolling_max,-0.6420837849981156,0.0
total_assets_rolling_std,-0.5128478986526407,0.0
total_assets_rolling_max,-0.6509506277682947,0.0
financial_balance_rolling_std,-0.5261554305469804,0.0
total_assets_rolling_mean,-0.6513649987627538,0.0
fund_balance_rolling_mean,-0.6546564570361485,0.0
fund_balance_rolling_max,-0.6508618927242225,0.0
financial_balance_rolling_mean,-0.6479787223567881,0.0
occupation_type_金融从业者,0.0,0.0
financial_repurchase_count,-0.3695946105523208,0.0
city_level_一线城市,1.0,0.0
occupation_type_专业人士,0.0,0.0
occupation_type_事业单位,0.0,0.0
occupation_type_企业高管,0.0,0.0
occupation_type_传统行业,0.0,0.0
occupation_type_私营业主,0.0,0.0
lifecycle_stage_新客户,1.0,0.0
marriage_status_未婚,0.0,0.0
marriage_status_已婚,1.0,0.0
city_level_二线城市,0.0,0.0
fund_balance_rolling_std,-0.5364817522319654,0.0
