feature,importance_split,importance_gain
total_assets,224,127295.11456739258
financial_balance,38,9464.318098390402
monthly_income,164,827.7756178445195
deposit_balance,30,787.3809752762318
insurance_balance,60,421.55110071615377
lifecycle_stage_成长客户,17,166.8753411769867
fund_balance,59,157.94330144193373
product_count,19,82.00014996528625
lifecycle_stage_忠诚客户,17,81.509610414505
credit_card_monthly_expense,19,74.20664284455529
app_financial_view_time,30,71.876762884669
lifecycle_stage_成熟客户,11,56.258509516716
investment_monthly_count,11,55.076062977313995
age,11,34.015204668045044
asset_cumulative_growth,4,14.00137996673584
lifecycle_stage_价值客户,3,13.420010209083557
app_login_count,5,11.275753021240234
asset_growth_rate,3,6.6051828265190125
asset_mom_change,2,3.1972501277923584
occupation_type_互联网从业者,9,0.32690339908003807
fund_balance_rolling_max,0,0.0
fund_balance_rolling_mean,0,0.0
financial_balance_rolling_std,0,0.0
financial_balance_rolling_max,0,0.0
financial_balance_rolling_mean,0,0.0
total_assets_rolling_std,0,0.0
total_assets_rolling_max,0,0.0
total_assets_rolling_mean,0,0.0
financial_repurchase_count,0,0.0
occupation_type_专业人士,0,0.0
marriage_status_未婚,0,0.0
occupation_type_事业单位,0,0.0
occupation_type_企业高管,0,0.0
occupation_type_传统行业,0,0.0
occupation_type_私营业主,0,0.0
occupation_type_金融从业者,0,0.0
city_level_一线城市,0,0.0
city_level_二线城市,0,0.0
lifecycle_stage_新客户,0,0.0
marriage_status_已婚,0,0.0
fund_balance_rolling_std,0,0.0
